,,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Other Ef MeV(Ig)
Eplab keV,Ei keV,0,146,461,666,1230,1887,2158,
447,5576.9,<0.1,26,<0.6,<0.3,4.2,2,,"2.38(0.4), 2.61(0.3), 2.72(8.9), 3.55(42), 3.60(16), 4139.8(0.2)"
508,5635.7,69,<0.3,2,11,0.4,1.3,,"2.58(10), 2.72(0.5), 3.13(2.8), 3.77(0.7), 3.79(1.7), 4.42(0.3), 4638.9(0.3)"
546,5672.9,74,<0.3,<0.4,6.1,,1.3,7.4,"2.58(4.9).3.13(2.1), 3.77(0.4), 3.79(1.4).3.94(1.5), 4.35(0.6), 4417.4(0.3)"
639,5763.2,24,8.4,1.6,<1.3,,0.7,54,"3.13(0.8), 3.38(9.3), 3940.1(1.2)"
662,5785.5,<0.3,50,<0.6,<0.3,3,0.8,16,"2.18(1.5), 2.61(1.4), 2.72(0.3), 3.33(0.6), 3.38(26), 3773.84(0.4)"
683,5805.9,1.9,20,31,18,4.1,0.4,,"2.58(18), 2.38(1.2), 3.55(0.4), 3.60(0.5), 3.98(0.6), 4.15(1.0), 4.61(2.9)"
731,5852.8,<0.2,50,<0.5,<0.5,14,3.1,4.2,"2.18(1.2), 2.61(0.3), 2.72(3.8), 3.38(1.8).3.55(6.6), 3.60(4.2), 3.77(0.2), 3.98(1.4), 4147.8(9.2)"
777,5897.2,1.7,29,34,11,14,3.7,,"2.58(0.8), 2.72(1.7), 3.33(0.3), 3.38(0.4), 3.55(1.7), 4.61(1.7)"
822,5940.8,0.7,4.8,15,0.7,,0.8,71,"2.38(0.4), 2.58(1.1), 2.61(0.4), 3.38(4.5), 4695.7(0.6)"
914,6030.0,90,5.8,<0.8,<0.5,<0.5,<0.6,<0.3,3383.3(4.2)
976,6088.91,90,<0.3,2.4,<1.0,<0.6,2.3,<0.3,"2.58(0.3), 2.72(4.2), 3.77(0.5), 13.80(0.3)"
1023,6136.2,,9.9,<0.3,58,20,,6.3,"2.18(1.0), 2.58(0.7), 2.61(2.2), 2.72(1.1), 3383.3(0.8)"
1029,6141.7,86,<0.3,<0.1,<0.2,,,0.5,"2.58(1.2), 2.72(5.7), 3.77(2.2), 3.79(0.5), 4.35(1.5), 4.42(1.3), 4515.8(1.1)"
1057,6169.0,<0.3,28,<0.3,<0.2,3.1,2.1,0.7,"2.18(4.8), 2.61(2.9), 2.72(8.2), 3.55(4.8), 3.60(7.6), 3.98(33), 4076.3(4.8)"
1070,6181.27,0.8,10,4.5,42,9.5,4.1,4.3,"2.18(0.6), 2.58(8.0), 2.61(3.6), 2.72(0.4), 3.13(0.3), 3.33(2.3), 3.38(3.1), 3.96(1.3), 4325.91(5.2)"
1097,6207.1,<0.1,0.8,<0.1,<0.1,,0.2,,"2.18(2.7), 2.38(2.1), 3.55(23), 3.60(47), 3.63(8.7), 3.98(6.0), 4.08(8.6), 4824.5(0.9)"
1119,6228.5,2.3,<0.2,2.1,<0.2,,,3.9,"2.72(41), 3.13(1.0), 3.77(18), 4.14(5.0), 4.33(0.9), 4.35(9.6), 4.42(2.6), 4.52(12), 4638.9(1.6)"
1158,6266.5,<1.1,31,<1.0,13,3.7,4.7,43,"2.18(2.5), 2721.1(2.1)"
1165,6273.3,<0.1,5,<0.1,<0.1,,6.4,0.9,"2.18(14), 2.38(65), 2.61(6.7), 3.33(0.5), 3.96(0.9), 4.08(0.4), 4446.6(0.2)"
1215,6322.3,<0.3,49,8,20,1.7,0.7,,"2.18(0.8), 2.58(8.5), 2.61(0.3), 2.72(5.1), 3.55(4.1), 4.35(1.0), 4605.8(0.8)"
1264,6369.8,14,14,7.2,33,3,1,2.2,"2.18(2.4), 2.58(7.0), 2.61(0.7), 2.72(6.0), 3.13(0.5), 3.33(0.7), 3.38(0.7), 3.55(2.2), 3.96(0.5), 3.98(0.5), 4.35(2.0), 4.52(1.3), 4638.9(1.1)"
1347,6450.4,<0.8,48,<0.4,<0.5,,,<0.2,"2.18(1.2), 2.61(12).3.33(0.5), 3.55(4.2), 3.60(18), 3.63(4.2), 4.08(1.3).4.45(3.4), 4461.4(3.3).4605.8(3.9)"
1386,6488.3,21,<0.5,7.9,1.2,,,59,3129.13(0.9).3940.1(10)
1448,6547.8,<0.4,84,<0.4,<0.3,9.3,,,"2.58(4.6), 3.38(0.8), 5171.6(1.3)"
1477,6576.1,<0.6,5.2,,<0.6,,,93,2375.7(1.8)
1528,6626.2,,12,13,<0.5,2.7,,10,"2.18(9.0), 2.61(3.0), 3.33(6.8), 3.55(6.8), 3.60(13).3.63(3.6), 4.08(9.7), 4.14(2.4), 4717.4(4.1).5386.8(3.9)"
1544,6640.91,<0.4,26,<0.2,<0.3,,,,"2.18(0.6), 2.38(5.0), 2.61(3.8), 3545.07(16).3600.27(2.8).3983.5(1.8).4076.3(44)"
1629,6724.2,<0.2,16,<0.5,<0.3,,,1.9,"2.18(1.4), 2.38(23).2.61(18), 3.38(0.4), 3.65(8.2), 3.96(1.2), 4.70(4.9), 4824.5(25)"
1644,6737.9,<0.6,30,11,15,4.3,1.3,36,3129.13(2.4)
1698,6790.8,100,<6.0,<4.0,<3.0,,<3.0,,
1706,6798.4,<0.4,92,<0.3,<0.2,,3.6,0.4,"2.38(1.0), 2.61(2.0), 3964.1(1.0)"
1738,6829.8,<0.7,14,17,6.1,<0.6,,52,"3.38(7.1), 3545.07(3.8)"
