Ei=6134 Eplab=1023
  Ef=146.5 Eg=5987.5 Ig=11
  Ef=665.7 Eg=5468.3 Ig=55
  Ef=1230.5 Eg=4903.5 Ig=22
  Ef=2158.1 Eg=3975.9 Ig=6
  Ef=2181.2 Eg=3952.8 Ig=1
  Ef=2579.9 Eg=3554.1 Ig=1
  Ef=2610.6 Eg=3523.4 Ig=2
  Ef=2721.4 Eg=3412.6 Ig=1
  Ef=3383.6 Eg=2750.4 Ig=1
  Ef=3982.2 Eg=2151.8 Ig=<1
  Ef=4416.4 Eg=1717.6 Ig=< 1

Ei=6139 Eplab=1029
  Ef=0 Eg=6139 Ig=86
  Ef=1230.5 Eg=4908.5 Ig=2
  Ef=2579.9 Eg=3559.1 Ig=1
  Ef=2721.4 Eg=3417.6 Ig=5.5
  Ef=3383.6 Eg=2755.4 Ig=<0.5
  Ef=3545.2 Eg=2593.8 Ig=0.5
  Ef=3773.9 Eg=2365.1 Ig=2
  Ef=4352.9 Eg=1786.1 Ig=1.5
  Ef=4416.4 Eg=1722.6 Ig=0.5
  Ef=4515.3 Eg=1623.7 Ig=1

Ei=6167 Eplab=1057
  Ef=146.5 Eg=6020.5 Ig=25
  Ef=1230.5 Eg=4936.5 Ig=4
  Ef=1887.2 Eg=4279.8 Ig=3
  Ef=2158.1 Eg=4008.9 Ig=0.5
  Ef=2181.2 Eg=3985.8 Ig=5
  Ef=2610.6 Eg=3556.4 Ig=2
  Ef=2721.4 Eg=3445.6 Ig=7
  Ef=3545.2 Eg=2621.8 Ig=5
  Ef=3600.3 Eg=2566.7 Ig=8
  Ef=3982.2 Eg=2184.8 Ig=34
  Ef=4075.9 Eg=2091.1 Ig=5
  Ef=4139.9 Eg=2027.1 Ig=<1
  Ef=4515.3 Eg=1651.7 Ig=1.5

Ei=6180 Eplab=1071
  Ef=146.5 Eg=6033.5 Ig=9
  Ef=461.2 Eg=5718.8 Ig=4.5
  Ef=665.7 Eg=5514.3 Ig=44
  Ef=1230.5 Eg=4949.5 Ig=11
  Ef=1887.2 Eg=4292.8 Ig=4
  Ef=2158.1 Eg=4021.9 Ig=3.5
  Ef=2579.9 Eg=3600.1 Ig=8
  Ef=2610.6 Eg=3569.4 Ig=4
  Ef=2721.4 Eg=3458.6 Ig=0.5
  Ef=3128.9 Eg=3051.1 Ig=0.5
  Ef=3333.9 Eg=2846.1 Ig=3
  Ef=3383.6 Eg=2796.4 Ig=2
  Ef=3964.2 Eg=2215.8 Ig=1
  Ef=4325.6 Eg=1854.4 Ig=5

Ei=6205 Eplab=1097
  Ef=146.5 Eg=6058.5 Ig=0.5
  Ef=2181.2 Eg=4023.8 Ig=3
  Ef=2375.6 Eg=3829.4 Ig=2
  Ef=3545.2 Eg=2659.8 Ig=23
  Ef=3600.3 Eg=2604.7 Ig=48
  Ef=3631.1 Eg=2573.9 Ig=10
  Ef=3645.6 Eg=2559.4 Ig=0.5
  Ef=3982.2 Eg=2222.8 Ig=3.5
  Ef=4075.9 Eg=2129.1 Ig=9
  Ef=4823.4 Eg=1381.6 Ig=0.5

Ei=6217 Eplab=1109
  Ef=146.5 Eg=6070.5 Ig=13
  Ef=1230.5 Eg=4986.5 Ig=11
  Ef=2181.2 Eg=4035.8 Ig=18
  Ef=2375.6 Eg=3841.4 Ig=4.5
  Ef=2610.6 Eg=3606.4 Ig=2
  Ef=3333.9 Eg=2883.1 Ig=3
  Ef=3631.1 Eg=2585.9 Ig=1
  Ef=3645.6 Eg=2571.4 Ig=7
  Ef=4325.6 Eg=1891.4 Ig=1.5
  Ef=4717.5 Eg=1499.5 Ig=39

Ei=6227 Eplab=1120
  Ef=0 Eg=6227 Ig=1.5
  Ef=461.2 Eg=5765.8 Ig=2
  Ef=2158.1 Eg=4068.9 Ig=5
  Ef=2721.4 Eg=3505.6 Ig=45
  Ef=3773.9 Eg=2453.1 Ig=15
  Ef=4139.9 Eg=2087.1 Ig=6
  Ef=4325.6 Eg=1901.4 Ig=1
  Ef=4352.9 Eg=1874.1 Ig=9
  Ef=4416.4 Eg=1810.6 Ig=3
  Ef=4515.3 Eg=1711.7 Ig=11
  Ef=4638.3 Eg=1588.7 Ig=1.5

Ei=6264 Eplab=1158
  Ef=146.5 Eg=6117.5 Ig=<23
  Ef=665.7 Eg=5598.3 Ig=19
  Ef=1887.2 Eg=4376.8 Ig=8
  Ef=2158.1 Eg=4105.9 Ig=69
  Ef=2721.4 Eg=3542.6 Ig=4

Ei=6271 Eplab=1165
  Ef=146.5 Eg=6124.5 Ig=3
  Ef=1230.5 Eg=5040.5 Ig=0.5
  Ef=1887.2 Eg=4383.8 Ig=7
  Ef=2158.1 Eg=4112.9 Ig=1
  Ef=2181.2 Eg=4089.8 Ig=16
  Ef=2375.6 Eg=3895.4 Ig=63
  Ef=2610.6 Eg=3660.4 Ig=8
  Ef=3964.2 Eg=2306.8 Ig=0.8
