S34_adopted.ens  E(level) provenance audit - FINAL (XREF-aware)
file: A34\S34\new\S34_adopted.ens  (368 L records)

Classification of all 367 levels above the ground state:
  A  unique plain XREF letter whose dataset L-record matches E and DE byte-exact .... 331   source pinned by XREF, no note needed
  B  byte-exact source unique, but other plain XREF letters also fall inside DE ...  15   source pinned by byte-exact E+DE
  C  two datasets share adopted E and DE byte-exact ................................   1   level is fit-basis (default cL E$ applies)
  D  no byte-exact source, but documented by own cL E note / flag / fit basis .......  20
  E  needs revision ................................................................   0

=> 0 levels require revision. XREF notation alone determines the E(level) source: a dataset
   letter written WITHOUT a parenthesised energy means that dataset's level energy agrees
   with the adopted value; 'Letter(value)' deliberately records a different energy from that
   dataset. A level whose single plain letter also matches E and DE byte-exact has an
   unambiguous, readable source and needs no cL E$ comment.

Earlier '194 undocumented' conclusion RETRACTED: it ignored the plain-letter XREF rule and
counted the col-77 flag mechanism (which exists only for flags A, E, P) as the sole evidence.

====================================================================================================
LEVELS IN CLASS A WITH NO GAMMAS OR DE-LESS GAMMAS (previously mis-listed as 'undocumented')
columns: adopted L-line, E, DE, nG, XREF, plain XREF letter(s), source dataset L-line
====================================================================================================
line   E(level)    DE   nG   XREF                           source   source record
516    6535        15   0    NR(6533?)                      N        S34_32s_t_p.ens line 63
566    6864        1    2    MN(6869)W(6860)                M        S34_31p_a_pg.ens line 512
580    6890        1    0    MNWc(6910)                     M        S34_31p_a_pg.ens line 528
646    7248        2    1    MO(7240*)W(7248*)              M        S34_31p_a_pg.ens line 559
667    7388        15   0    NR(7398*)W(7389*)              N        S34_32s_t_p.ens line 78
671    7392        1    0    MN(7388*)R(7398*)W(7389*)      M        S34_31p_a_pg.ens line 565
711    7739        16   0    NW(7732)                       N        S34_32s_t_p.ens line 84
716    7753        11   0    R                              R        S34_33s_d_p.ens line 125
758    8025        16   0    NW(8034*)                      N        S34_32s_t_p.ens line 89
769    8083        1    0    M                              M        S34_31p_a_pg.ens line 576
802    8255        16   0    N                              N        S34_32s_t_p.ens line 91
859    8580        5    0    W                              W        S34_34s_p_pP_pol_p_pP.ens line 127
883    8671        5    0    W                              W        S34_34s_p_pP_pol_p_pP.ens line 130
896    8718        5    0    W                              W        S34_34s_p_pP_pol_p_pP.ens line 131
913    8792        5    0    W                              W        S34_34s_p_pP_pol_p_pP.ens line 133
931    8953        5    0    W                              W        S34_34s_p_pP_pol_p_pP.ens line 135
940    8987        5    0    W                              W        S34_34s_p_pP_pol_p_pP.ens line 136
949    9120        5    0    W                              W        S34_34s_p_pP_pol_p_pP.ens line 137
959    9171        5    0    W                              W        S34_34s_p_pP_pol_p_pP.ens line 138
970    9226        6    0    W                              W        S34_34s_p_pP_pol_p_pP.ens line 140
973    9257        10   0    W                              W        S34_34s_p_pP_pol_p_pP.ens line 141
983    9429        5    0    W                              W        S34_34s_p_pP_pol_p_pP.ens line 142
986    9445        5    0    W                              W        S34_34s_p_pP_pol_p_pP.ens line 143
1007   9566        10   0    W                              W        S34_34s_p_pP_pol_p_pP.ens line 145
1085   9981        5    2    LW(9969)                       L        S34_30si_a_g_a_n_resonances.ens line 66
1092   10000       10   0    TW                             T        S34_34s_e_eP.ens line 39
1100   10097       5    2    L                              L        S34_30si_a_g_a_n_resonances.ens line 72
1105   10140       5    0    L                              L        S34_30si_a_g_a_n_resonances.ens line 77
1108   10169       5    2    L                              L        S34_30si_a_g_a_n_resonances.ens line 78
1129   10201       5    0    L                              L        S34_30si_a_g_a_n_resonances.ens line 82
1137   10236       5    0    L                              L        S34_30si_a_g_a_n_resonances.ens line 83
1140   10249       5    2    L                              L        S34_30si_a_g_a_n_resonances.ens line 84
1161   10382       4    1    L                              L        S34_30si_a_g_a_n_resonances.ens line 92
1165   10386       4    1    L                              L        S34_30si_a_g_a_n_resonances.ens line 96
1177   10408       5    2    L                              L        S34_30si_a_g_a_n_resonances.ens line 101
1184   10430       10   0    T                              T        S34_34s_e_eP.ens line 43
1187   10447       5    1    L                              L        S34_30si_a_g_a_n_resonances.ens line 105
1191   10482       4    1    L                              L        S34_30si_a_g_a_n_resonances.ens line 110
1195   10494       5    2    L                              L        S34_30si_a_g_a_n_resonances.ens line 114
1203   10528       5    0    L                              L        S34_30si_a_g_a_n_resonances.ens line 119
