,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Other Ef keV,Ig
Ei (keV),0.0,146.5,461.2,665.7,1230.5,1887.2,2158.1,2181.2,2375.6,2579.9,2610.6,2721.4,,
461.2,100,,,,,,,,,,,,,
665.7,100,,,,,,,,,,,,,
1230.5,< 0.5,27+/-1,36+/-1,37+/-1,,,,,,,,,,
1887.2,< 0.5,40+/-2,60+/-2,< 0.5,,,,,,,,,,
2158.1,14+/-1,14+/-1,66+/-2,< 0.5,6+/-1,,,,,,,,,
2181.2,<1,47+/-2,41+/-2,12+/-1,<1,,,,,,,,,
2375.6,,99.0+/-0.5,,,1.0+/-0.5,,,,,,,,,
2579.9,100,,,,,,23+/-1,,,,,,,
2610.6,,35+/-1,,18+/-1,24+/-2,3+/-1,8+/-1,,,,,,,
2721.4,14+/-1,18+/-1,49+/-2,6+/-1,2+/-1,,,,,,,,,
3128.9,100,,,,,,67+/-12,,,,,,,
3333.9,,,11+/-6,22+/-6,,,,,,,,,,
3383.6,,31+/-2,26+/-2,27+/-2,16+/-3,,,,,,,,,
3545.2,,96+/-2,,,4+/-2,,,,,,,,,
3600.3,,47+/-2,,,,,,<2,7+/-1,,,46+/-2,,
3631.1,,45+/-2,,,,,,,55+/-2,,,,,
3645.6,,100,,,,,,,,,,,,
3659.4,,,,,,,100,,,,,,,
3773.9,100,,,,,,,,,,,,,
3941.2,,,57+/-6,43+/-6,,,,,,,,,,
3964.2,,17+/-8,,,,,75+/-12,,8+/-4,,,,,
3982.2,,63+/-2,,,<4,,29+/-2,,,,,8+/-1,,
4075.9,,59+/-2,,,,,,12+/-2,21+/-2,,,8+/-2,,
4139.9,,56+/-5,,,,,20+/-5,,,,,,Ef unknown,24
4325.6,,,,,,,100,,,,,,,
4352.9,67+/-2,,9+/-2,,,,24+/-2,,,,,,,
4416.4,,,61+/-5,39+/-5,,,,,,,,,,
4444.7,,100,,,,,,,,,,,,
4462.2,,100,,,,,,,,,,,,
4515.3,,21+/-3,,79+/-3,,,,,,,,,,
4605.8,,<5,,,23,15,19,,,,,43,,
4609.7,,30,,,41,,,,,,,29,,
4638.3,,39+/-5,61+/-5,,,,,,,,,,,
4695,,,,,,,100,,,,,,,
4717.5,,63+/-3,,,,,5+/-2,25+/-3,,,7+/-2,,,
4823.4,,81+/-4,,,,,,,,,,,3600.3,19+/-4
4941.4,53+/-20,,,,,,,,,24+/-10,23+/-10,,,
4959,,48+/-5,,,52+/-5,,,,,,,,,
4993,,,,,,,100,,,,,,,
5020,,,,,,,100,,,,,,,
5170,,100,,,,,,,,,,,3600.3,100
5383,,,,,,,,,,,,,3545.2,35+/-4
5540,,,,,,,,,,,,,3600.3,65+/-4
