,,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV
Eplab keV,Ei keV,0,146,461,666,1230,1887,2158,2181,2376,2580,2611,2721,3129
1023,6134,,11,,55,22,,6,1,,1,2,1,
1029,6139,86,,,,2,,,,,1,,5.5,
1057,6167,,25,,,4,3,0.5,5,,,2,7,
1071,6180,,9,4.5,44,11,4,3.5,,,8,4,0.5,0.5
1097,6205,,0.5,,,,,,3,2,,,,
1109,6217,,13,,,11,,,18,4.5,,2,,
1120,6227,1.5,,2,,,,5,,,,,45,
1158,6264,,<23,,19,,8,69,,,,,4,
1165,6271,,3,,,0.5,7,1,16,63,,8,,
1215,6320,,44,8,16,2,1,,1,,9,2,5.5,
1255,6359,,7.5,6.5,,11,,44,,,,,,
1266,6369,15,14,9,29,3,1,2.5,3,,7,1,6,1
1277,6380,,39,,2,,,,,2.5,,4,1,
1295,6397,,55,,,5,,,,3,,,2,
1338,6439,,8,6,4,,,73,,,,,,
1349,6450,,48,,,,,,2,,,14,,
1377,6477,,,65,12,,,,,,6,,,
1386,6486,20,,8,2,,,60,,,,,,
1427,6525,,8,,7,,4,6,,,,,,
1448,6545,,78,,,16,,,,,,6,,
1477,6574,,5,,,,,95,,,,,,
1485,6581,-8,,-47,-10,,,-10,,,,,,
1528,6624,,15,26,,,,,,,,,,
1545,6640,,22,,,,,,0.5,6,,6,,
1599,6693,,,,,,,,,32,,23,,
1607,6700,,84,,,,,,,5,,,,
1625,6718,,48,,,12,5.5,,,,,,,
1630,6723,,16,,,,,3,2,26,,20,,
1644,6736,,29,11,14,5,,39,,,,,,2
1698,6788,95,,,,,5,,,,,,,
1706,6796,,91,,,,4,0.5,,1,,2,,
1716,6805,,,,71,,,8,,,12,,,
1738,6827,,19,11,3,,,58,,,,,,
1752,6840,,2.5,20,7,13,7,6,,,9,2.5,,
1762,6851,5,4,40,6,13,23,,,,3,,,3
1782,6870,,,,,,,,,,8,,,
1799,6887,,5,,,,1,86,1,,,,,
1813,6900,6,2,,,,,,76,,,,,
1829,6916,,62,,,,,,5.5,25,,,2.5,
1843,6929,,14,,4,,2,2,,,2,,3,
1890,6975,,20,,,5.5,,67,,,,,,
1900,6984,,7.5,,,24,,41,,,,,4.5,
1967,7049,,,28,20,,,26,,,,,,
1975,7058,,<1,57,25,3,5,0.5,1.5,,0.5,,1,2.5
1997,7079,,8,,,28,3,,1,,,,11,
