,,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,
Eplab keV,Ei keV,0,146.5,461.2,665.7,1230.5,1887.2,2158.1,2181.2,2375.6,2579.9,2610.6,2721.4,3128.9,3333.9,3383.6,3545.2,3600.3,3631.1,3645.6,3659.4,3773.9,3941.2,3964.2,3982.2,4075.9,4139.9,4325.6,4352.9,Other Ef keV,Ig
1023,6134,,11,,55,22,,6,1,,1,2,1,,,1,,,,,,,,,<1,,,,,4.42(< 1)
1029,6139,86,,,,2,,,,,1,,5.5,,,<0.5,0.5,,,,,2,,,,,,,1.5,4.42(0.5)4.52(1)
1057,6167,,25,,,4,3,0.5,5,,,2,7,,,,5,8,,,,,,,34,5,<1,,,4.52(1.5)
1071,6180,,9,4.5,44,11,4,3.5,,,8,4,0.5,0.5,3,2,,,,,,,,1,,,,5,,
1097,6205,,0.5,,,,,,3,2,,,,,,,23,48,10,0.5,,,,,3.5,9,,,,4.82(0.5)
1109,6217,,13,,,11,,,18,4.5,,2,,,3,,,,1,7,,,,,,,,1.5,,4.72(39)
1120,6227,1.5,,2,,,,5,,,,,45,,,,,,,,,15,,,,,6,1,9,4.42(3)4.52(11)4.64(1.5)
1158,6264,,<23,,19,,8,69,,,,,4,,,,,,,,,,,,,,,,,
1165,6271,,3,,,0.5,7,1,16,63,,8,,,,,,,,,,,,0.8,,0.7,,,,
1215,6320,,44,8,16,2,1,,1,,9,2,5.5,,,0.5,4,,1,,,,,,,3,,,1,4.606(2)
1255,6359,,7.5,6.5,,11,,44,,,,,,,,31,,,,,,,,,,,,,,
1266,6369,15,14,9,29,3,1,2.5,3,,7,1,6,1,,0.5,2,,,,,,,0.5,0.5,,,,2.5,4.52(1)4.64(0.5)4.96(1)
1277,6380,,39,,2,,,,,2.5,,4,1,,2.5,,3.5,8,,,,,,,2,2.5,,,,4.606(14)4.610(19)
1295,6397,,55,,,5,,,,3,,,2,,,32,,3,,,,,,,,,,,,
1338,6439,,8,6,4,,,73,,,,,,,,7,,,,,,,,,,2,,,,
1349,6450,,48,,,,,,2,,,14,,,,,3.5,18,5,,,,,,,2,,,,4.44(3.5)4.606(4)4.610( < 2)
1377,6477,,,65,12,,,,,,6,,,,,,,,,,,<2,,,,,,,17,
1386,6486,20,,8,2,,,60,,,,,,,,,,,,,,,10,,,,,,,
1427,6525,,8,,7,,4,6,,,,,,,,62,,13,,,,,,,,,,,,
1448,6545,,78,,,16,,,,,6,,,,,,,,,,,,,,,,,,,
1477,6574,,5,,,,,95,,,,,,,,,,,,,,,,,,,,,,
1485,6581,8,,47,10,,,10,,,,,,,,,25,,,,,,,,,,,,,
1528,6624,,15,26,,,,,,,,,,,,,12,35,,,,,,,,12,,,,
1545,6640,,22,,,,,,0.5,6,,6,,,,,18,5,0.5,0.5,,,,,3,38,,0.5,,
1599,6693,,,,,,,,,32,,23,,,,,,15,,10,,,,,,,,,,4.70(4)4.82(16)
1607,6700,,84,,,,,,,5,,,,,2,,3,4,,,,,,,,2,,,,
1625,6718,,48,,,12,5.5,,,,,,,,,4.5,,,,,,,,,4,,,,,4.606(11)4.610(15)
1630,6723,,16,,,,,3,2,26,,20,,,,,,,,7,,,,,,,,,,4.70(4)4.82(22)
1644,6736,,29,11,14,5,,39,,,,,,2,,,,,,,,,,,,,,,,
1698,6788,95,,,,,5,,,,,,,,,,,,,,,,,,,,,,,
1706,6796,,91,,,,4,0.5,,1,,2,,,,0.5,,,,,,,,1,,,,,,
1716,6805,,,,71,,,8,,,12,,,,,9,,,,,,,,,,,,,,
1738,6827,,19,11,3,,,58,,,,,,,,9,,,,,,,,,,,,,,
1752,6840,,2.5,20,7,13,7,6,,,9,2.5,,,2,4.5,,,,,,,,,9.5,,2,,9,4.52(5)4.606(1)4.610(< 2)
1762,6851,5,4,40,6,13,23,,,,3,,,3,,,,,,,,,,,,,,,1,4.70(1)4.99(1)
1782,6870,,,,,,,,,8,,,,,,,,,44,,,,,,,,,,,4.44(28)5.17(11)5.38(3)5.54(6)
1799,6887,,5,,,,1,86,1,,,,,,,2,,,,,,,,,,,,,,4.606(1)4.610(1)4.72(2)4.96(1)
1813,6900,6,2,,,,,76,,,,,,,,16,,,,,,,,,,,,,,
1829,6916,,62,,,,,,5.5,25,,2.5,,,1.5,,,,2,1.5,,,,,,,,,,
1843,6929,,14,,4,,2,2,,,2,,3,,,14,3,2,,,,,,,4,,,,2,4.46(<2)4.52(1)4.606(23)4.610(21)4.72(3)
1890,6975,,20,,,5.5,,67,,,,,,,,7.5,,,,,,,,,,,,,,
1900,6984,,7.5,,,24,,41,,,,,4.5,,,,8,7.5,,,,,,,7.5,,,,,4.606( < 2)
1967,7049,,,28,20,,,26,,,,,,,,10,5,,,,,,,,,,,,,4.96(11)
1975,7058,,<1,57,25,3,5,0.5,1.5,,0.5,,1,2.5,,,,,,,1,<0.5,,,,,,0.5,,4.94(1)4.99(1.5)
1997,7079,,8,,,28,3,,1,,,,11,,<1,,15,17,,,,,,,16,1,,,,
