Ex (keV),"L, L+2",J^pi,A_L^2,A_{L+2}^2,Remarks
180 ± 40,2 + 4,3+,0.71 ± 0.16,< 0.5,
490 ± 30,0 + 2,1+,1.2 ± 0.5,0.3 ± 0.3,
1230 ± 40,2,2+,0.19 ± 0.03,,
2175 ± 7,2 + 4,3+,0.26 ± 0.03,,
2708 ± 20,1 + 3,-2,0.4 ± 0.2,0.24 ± 0.15,
3600 ± 14,3 + 5,-4,0.88 ± 0.08,,
4056 ± 18,3 + 5,-4,0.39 ± 0.04,,
4417 ± 17,1,0,2.6 ± 0.5,,Present work indicates J^pi = 2-
,1,-1,0.95 ± 0.16,,
,1 + 3,-2,0.4 ± 0.3,< 0.3,
4650 ± 40,1 + 3,-2,< 0.8,0.6 ± 0.3,
4786 ± 10,1 + 3,-2,e),2.3 ± 0.3,
,3,-3,1.48 ± 0.15,,
,4,4+,0.56 ± 0.06,,
4930 ± 20,0 + 2,1+,< 2.14,1.4 ± 1.0,
,2,2+,1.11 ± 0.11,,
5277 ± 10,6,7+,1,,
7350 ± 20,3,-3,1.47 ± 0.13,,
,6,6+,0.60 ± 0.05,,
,6,7+,0.34 ± 0.03,,
7840 ± 30,3,-3,1.08 ± 0.11,,
,5,-5,0.65 ± 0.06,,
,6,6+,0.41 ± 0.04,,
,6,7+,0.23 ± 0.03,,
8390 ± 20,3,-3,1.86 ± 0.17,,
,5,-5,1.05 ± 0.09,,
,6,6+,0.64 ± 0.06,,
,6,7+,0.36 ± 0.04,,
