,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Other Ef MeV(Ig)
Ei keV,0,146,461,666,1230,1887,2158,2181,2376,2721,
461,100,<1,,,,,,,,,
666,100,<1,<1,,,,,,,,
1230,<2,30.5+/-0.5,35.0+/-0.5,34.5+/-0.5,,,,,,,
1887,<1,42.6+/-0.7,57.4+/-0.7,,<2,,,,,,
2158,15.6+/-0.3,13.2+/-0.3,65.6+/-0.4,<2,5.6+/-0.2,,,,,,
2181,<2,51.4+/-1.3,35.9+/-1.4,12.7+/-0.7,<2,,,,,,
2376,<2,99.2+/-0.2,<4,<2,0.8+/-0.2,,,,,,
2580,100,<2,<2,<2,<1,,,,,,
2611,,39.4+/-1.3,<2,15.1+/-1.1,26.7+/-1.3,<1,21.8+/-1.3,,,,
2721,16.0+/-0.5,18.5+/-0.5,46.9+/-0.7,7.7+/-0.5,2.1+/-0.2,2.0+/-0.2,6.8+/-0.5,,,,
3129,100,<2,<2,,<2,,,,,,
3334,<3,<2,22+/-5,37+/-5,<2,<2,41+/-6,,,,
3383,<1,32.3+/-1.1,23.4+/-1.4,27.5+/-1.4,16.8+/-0.8,,,,,,
3545,<3,96.6+/-0.6,<3,,3.4+/-0.6,,,,,,
3600,<2,47.7+/-0.5,<2,<2,,,,,7.5+/-0.9,44.8+/-0.5,
3632,<3,45.5+/-0.7,<3,<2,<2,,,,54.5+/-0.7,,
3646,<3,75+/-5,<3,,<2,,,,,,unknown Ef (25   )
3660,<3,<5,<2,<2,<2,<2,100,,,,
3774,77+/-5,,,,,,,,,,unknown Ef (23%)
3792,<6,<7,85+/-6,,<3,,,,,,unknown Ef (15%)
3940,<3,,42+/-5,58+/-5,<2,,,,,,
3964,,40+/-15,,,,,60+/-15,,,,
3984,,64+/-2,<1,,<5,,27.1+/-1.1,,,8.9+/-0.7,
4076,<2,60.0+/-1.5,<2,,<3,,,13.4+/-0.8,21.3+/-0.8,5.3+/-0.5,
4140,<2,51+/-3,<2,<5,7+/-2,,23+/-2,,,,2.58(19+/-3)
4148,5.2+/-0.8,<2,,35.0+/-1.0,52.9+/-1.2,,3.2+/-0.7,3.7+/-0.5,,,
4326,<4,<2,<3,<2,,<1,80+/-5,,,,unknown Ef (20%)
4354,71t2,<2,7+/-2,<3,,,22+/-2,,,,
4417,<5,<4,64+/-3,36+/-3,<2,,,,,,
4447,<3,100,,,,,,,,,
4461,,X,,,,,,,,,
4516,<4,20+/-2,<2,80+/-2,<3,,,,,,
4606,,,,,X,X,X,,,X,
4610,,X,,,X,,,,,X,
4639,,29+/-9,71+/-9,,,,,,,,
4696,<2,,<4,<5,<4,<4,100,,,,
4717,,61+/-3,<3,<3,<3,<2,11+/-3,18+/-3,,,2.61(10+/-3)
4825,<2,62+/-2,<2,,<7,,,3+/-1,,,3.60(31+/-2); 3.63(4+/-1)
4942,70+10,,,,,,,,,,unknown Ef (30%)
4957,<2,49+/-5,<3,<3,51+/-5,<2,,,,,
4996,,,,,,,70+/-10,,,,unknown Ef (30%)
5172,,X,,,,,,,,,
5387,<3,<3,<4,<2,<2,,,,,,3.60(100)
5541,<4,<5,<3,<6,,,,,,,3.55(36+/-5); 3.60(64+/-5)
