,,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Ef keV,Other Ef keV(Ig)
Eplab keV,Ei keV,0,146,461,666,1230,1887,2158,
447,5576,<0.1,26,<0.6,<0.3,4.2,2,,"2375.7(0.4), 2611.05(0.3), 2721.1(8.9), 3545.07(42), 3600.27(16), 4139.8(0.2)"
508,5635,69,<0.3,2,11,0.4,1.3,,"2580.4(10), 2721.1(0.5), 3129.13(2.8), 3773.84(0.7), 3791.7(1.7), 4417.4(0.3), 4638.9(0.3)"
546,5672,74,<0.3,<0.4,6.1,,1.3,7.4,"2580.4(4.9).3129.13(2.1), 3773.84(0.4), 3791.7(1.4).3940.1(1.5), 4354.3(0.6), 4417.4(0.3)"
639,5763,24,8.4,1.6,<1.3,,0.7,54,"3129.13(0.8), 3383.3(9.3), 3940.1(1.2)"
662,5785,<0.3,50,<0.6,<0.3,3,0.8,16,"2181.10(1.5), 2611.05(1.4), 2721.1(0.3), 3334.0(0.6), 3383.3(26), 3773.84(0.4)"
683,5805,1.9,20,31,18,4.1,0.4,,"2580.4(18), 2375.7(1.2), 3545.07(0.4), 3600.27(0.5), 3983.5(0.6), 4147.8(1.0), 4610(2.9)"
731,5852,<0.2,50,<0.5,<0.5,14,3.1,4.2,"2181.10(1.2), 2611.05(0.3), 2721.1(3.8), 3383.3(1.8).3545.07(6.6), 3600.27(4.2), 3773.84(0.2), 3983.5(1.4), 4147.8(9.2)"
777,5896,1.7,29,34,11,14,3.7,,"2580.4(0.8), 2721.1(1.7), 3334.0(0.3), 3383.3(0.4), 3545.07(1.7), 4610(1.7)"
822,5940,0.7,4.8,15,0.7,,0.8,71,"2375.7(0.4), 2580.4(1.1), 2611.05(0.4), 3383.3(4.5), 4695.7(0.6)"
914,6029,90,5.8,<0.8,<0.5,<0.5,<0.6,<0.3,3383.3(4.2)
976,6090,90,<0.3,2.4,<1.0,<0.6,2.3,<0.3,"2580.4(0.3), 2721.1(4.2), 3773.84(0.5), 3791.7(0.3)"
1023,6136,,9.9,<0.3,58,20,,6.3,"2181.10(1.0), 2580.4(0.7), 2611.05(2.2), 2721.1(1.1), 3383.3(0.8)"
1029,6141,86,<0.3,<0.1,<0.2,,,0.5,"2580.4(1.2), 2721.1(5.7), 3773.84(2.2), 3791.7(0.5), 4354.3(1.5), 4417.4(1.3), 4515.8(1.1)"
1057,6168,<0.3,28,<0.3,<0.2,3.1,2.1,0.7,"2181.10(4.8), 2611.05(2.9), 2721.1(8.2), 3545.07(4.8), 3600.27(7.6), 3983.5(33), 4076.3(4.8)"
1070,6180,0.8,10,4.5,42,9.5,4.1,4.3,"2181.10(0.6), 2580.4(8.0), 2611.05(3.6), 2721.1(0.4), 3129.13(0.3), 3334.0(2.3), 3383.3(3.1), 3964.1(1.3), 4325.91(5.2)"
1097,6206,<0.1,0.8,<0.1,<0.1,,0.2,,"2181.10(2.7), 2375.7(2.1), 3545.07(23), 3600.27(47), 3631.8(8.7), 3983.5(6.0), 4076.3(8.6), 4824.5(0.9)"
1119,6228,2.3,<0.2,2.1,<0.2,,,3.9,"2721.1(41), 3129.13(1.0), 3773.84(18), 4139.8(5.0), 4325.91(0.9), 4354.3(9.6), 4417.4(2.6), 4515.8(12), 4638.9(1.6)"
1158,6266,<1.1,31,<1.0,13,3.7,4.7,43,"2181.10(2.5), 2721.1(2.1)"
1165,6272,<0.1,5,<0.1,<0.1,,6.4,0.9,"2181.10(14), 2375.7(65), 2611.05(6.7), 3334.0(0.5), 3964.1(0.9), 4076.3(0.4), 4446.6(0.2)"
1215,6322,<0.3,49,8,20,1.7,0.7,,"2181.10(0.8), 2580.4(8.5), 2611.05(0.3), 2721.1(5.1), 3545.07(4.1), 4354.3(1.0), 4605.8(0.8)"
1264,6369,14,14,7.2,33,3,1,2.2,"2181.10(2.4), 2580.4(7.0), 2611.05(0.7), 2721.1(6.0), 3129.13(0.5), 3334.0(0.7), 3383.3(0.7), 3545.07(2.2), 3964.1(0.5), 3983.5(0.5), 4354.3(2.0), 4515.8(1.3), 4638.9(1.1)"
1347,6450,<0.8,48,<0.4,<0.5,,,<0.2,"2181.10(1.2), 2611.05(12).3334.0(0.5), 3545.07(4.2), 3600.27(18), 3631.8(4.2), 4076.3(1.3).4446.6(3.4), 4461.4(3.3).4605.8(3.9)"
1386,6488,21,<0.5,7.9,1.2,,,59,3129.13(0.9).3940.1(10)
1448,6547,<0.4,84,<0.4,<0.3,9.3,,,"2580.4(4.6), 3383.3(0.8), 5171.6(1.3)"
1477,6576,<0.6,5.2,,<0.6,,,93,2375.7(1.8)
1528,6626,,12,13,<0.5,2.7,,10,"2181.10(9.0), 2611.05(3.0), 3334.0(6.8), 3545.07(6.8), 3600.27(13).3631.8(3.6), 4076.3(9.7), 4139.8(2.4), 4717.4(4.1).5386.8(3.9)"
1544,6640,<0.4,26,<0.2,<0.3,,,,"2181.10(0.6), 2375.7(5.0), 2611.05(3.8), 3545.07(16).3600.27(2.8).3983.5(1.8).4076.3(44)"
1629,6724,<0.2,16,<0.5,<0.3,,,1.9,"2181.10(1.4), 2375.7(23).2611.05(18), 3383.3(0.4), 3646.3(8.2), 3964.1(1.2), 4695.7(4.9), 4824.5(25)"
1644,6738,<0.6,30,11,15,4.3,1.3,36,3129.13(2.4)
1698,6790,100,<6.0,<4.0,<3.0,,<3.0,,
1706,6798,<0.4,92,<0.3,<0.2,,3.6,0.4,"2375.7(1.0), 2611.05(2.0), 3964.1(1.0)"
1738,6829,<0.7,14,17,6.1,<0.6,,52,"3383.3(7.1), 3545.07(3.8)"
1752,6842,<0.3,2,16,7.1,12,6,4.7,"2181.10(1.1), 2580.4(7.3), 2611.05(2.5), 3129.13(1.5).3334.0(1.8), 3383.3(2.9).3773.84(1.0), 3983.5(8.7), 4139.8(2.5), 4147.8(5.5), 4354.3(7.9), 4515.8(5.6), 4605.8(2.8), 4610(1.1)"
1762,6852,4.5,4,39,7,13,22,,"2580.4(3.5), 3129.13(3.2), 3545.07(2.0), 4695.7(0.9), 4995.6(0.9)"
1781,6871,<0.6,<0.6,<0.7,<0.6,,,<0.4,"2375.7(6.5), 3631.8(46), 4076.3(2.6), 4446.6(28), 5171.6(11).5386.8(1.3), 5540.8(4.6)"
1798,6887,<0.4,6.7,<0.3,<0.3,,1.4,82,"2181.10(2.9), 3383.3(1.4), 4605.8(1.1), 4717.4(3.5), 4957.3(1.0)"
1812,6901,7.4,2.1,0.9,<0.2,0.6,,74,3383.3(15)
1829,6917,<0.4,62,<0.2,<0.1,,,,"2181.10(5.0), 2375.7(25), 2611.05(2.4), 3334.0(1.4), 3545.07(0.5), 3631.8(2.2), 3646.3(1.2), 5540.8(0.3)"
1843,6931,<1.5,11,<2.0,10,,,4.2,"2580.4(4.2), 2721.1(2.8), 3383.3(12), 3545.07(4.5), 3600.27(1.0), 3983.5(3.3), 4354.3(2.0), 4461.4(2.0), 4515.8(1.8), 4605.8(14), 4609.7(22), 4717.4(5.2)"
1974,7058,<0.2,0.5,58,23,3.3,4.1,0.5,"2181.10(0.8), 2580.4(0.8), 2611.05(0.7), 2721.1(0.7), 3129.13(3.1), 3660.0(0.8), 3773.84(0.1), 4325.91(0.4), 4610(0.5), 4695.7(0.2), 4941.9(1.2), 4995.6(1.3)"
1997,7080,<0.8,9.0,<0.6,<0.6,27,2.4,,"2181.10(2.3), 2721.1(11), 3545.07(15), 3600.27(15), 3983.5(16), 4325.91(0.6), 4610(1.7)"
