34Cl,,Er = 432,,,Er = 492,,,Er = 529,
level (keV),Approximate Eg,2011Fr04,1983Wa27,Approximate Eg,2011Fr04,1983Wa27,Approximate Eg,2011Fr04,1983Wa27
0,5577,,<0.2,5635,100,100,5672,100,100
147,5430,61.9 ± 5.5,61.9,5488,<0.65,<0.4,5525,<1.4,<0.4
461,5116,,<1.4,5174,2.2 ± 0.7,2.9,5211,<3.8,<0.5
666,4911,,<0.7,4969,15.4 ± 1.0,15.9,5006,6.4 ± 3.4,8.2
1230,4347,10.3 ± 1.4,10,4405,0.6 ± 0.4,0.6,4442,,
1887,3690,5.5 ± 1.0,4.8,3748,1.8 ± 0.3,1.9,3785,<4.4,1.8
2158,3419,,,3477,0.6 ± 0.3,,3514,8.8 ± 2.4,10
2181,3396,,,3454,<0.5,,3491,<3.2,
2376,3201,3.0 ± 1.2,1,3259,<0.3,,3296,<3.0,
2580,2997,<1.2,,3055,12.2 ± 0.7,14.5,3092,11.6 ± 2.6,6.6
2611,2966,,0.7,3024,<0.4,,3061,<1.5 <,
2721,2856,22.6 ± 2.3,21.2,2914,1.0 ± 0.3,0.7,2951,< <3.8,
3129,2448,<3.9,,2506,3.9 ± 0.4,4.1,2543,,2.8
3334,2243,,,2301,,,2338,,
3383,2194,,,2252,,,2289,<1.3,
3545,2032,100,100,2090,,,2127,,
3600,1977,28.7 ± 6.6,38.1,2035,,,2072,<5.5,
3632,1945,,,2003,<0.3,,2040,<4.0,
3646,1931,,,1989,<0.4,,2026,<3.3,
3660,1917,,,1975,<0.3,,2012,<3.4,
3774,1803,,,1861,,,1898,<4.6,0.5
3792,1785,,,1843,3.7 ± 0.7,2.5,1880,<6.7,1.9
