Calibration,2014Pa44,2014Pa44,2014Pa44
Elevel,Elevel,L,C2S
4638.9(4),⁎,1 + 3,0.010(2) + 0.017(3)
4670(40),,,
4680(10),,,
4695.7(2),4695(2)a,,
4717.4(6),4718(2)a,,
4743.15(11),,,
(4788(7)),,,
4824.2(1),,,
,4857(2),2,0.230(8)
,,1 + 3,0.0059(5) + 0.034(3)
4927(4),,,
4941.9(4),⁎,1,0.0060(7)
4957.3(11),⁎,2,0.079(5)
(4970(40)),,,
4971(11),4979(2),1,0.0058(4)
,,0,0.0095(7)
4995.6(3),4994(2),2,0.056(5)
5010(13),5009(2),2,0.070(3)
,,3,0.020(1)
-5020,5028(2),1,0.0010(1)
5061(4),,,
5093(4),,,
5154(4),,,
5171.6(3),⁎,3,0.0159(7)
,,2,0.057(3)
5233(4),,,
,5246(2),3,0.112(3)
5263(4),,,
5278(7),,,
5292,,,
5314.93(17),,,
5326(4),,,
,5338(2),1 + 3,0.0060(5) + 0.022(2)
,,2,0.200(8)
5357(4),,,
5386.8(15),⁎,3,0.0128(7)
5424(4),,,
(5436.2(20)),5435(2),0,0.0110(6)
5444(4),,,
(5454.2(20)),5453(2),0,0.0034(5)
5485(4),,,
5540.8(11),,,
5577.5(7),5577(2),0,0.081(1)
5606(4),5608(2),3,0.334(3)
5635.7(2),⁎,1 + 3,0.0081(7) + 0.054(2)
,,2,0.247(4)
5672.9(10),⁎,0,0.0118(8)
5705(5),,,
5763.2(10),,,
5785.5(10),5784(2),1,0.0010(1)
5805.9(10),⁎,1 + 3,0.0028(6) + 0.016(1)
5852.8(3),⁎,1 + 3,0.012(1) + 0.039(3)
5868(1),,,
5897.1(10),⁎,1,0.0088(7)
