row_id,Initial_Level_MeV,Previous_J_pi,Present_J_pi,Final_Level_MeV,Mixing_Ratio_Raw,Mixing_Ratio_ENSDF,Branching_1971Mu03_pct,Branching_1970Gr11_pct,Branching_1970Mo09_pct,Lifetime_fs,Lifetime_ENSDF
1,2.127,2+,2+,0.0,E2,E2,100,100,100,440 ± 50,440(50)
2,3.303,2+,2+,0.0,E2,E2,55 ± 5,43 ± 5,50 ± 5,218 ± 30,218(30)
3,3.303,,,2.127,0.14 ± 0.06,0.14(6),45 ± 5,57 ± 5,50 ± 5,,
4,3.915,0+,0+,2.127,E2,E2,100,100,100,1600 ± 130,1600(130)
5,4.075,1+,1+,0.0,M1,M1,54 ± 5,41 ± 5,50 ± 15,< 33,< 33
6,4.075,,,2.127,-0.1 (+3.9/-0.3),-0.1(+39-3),43 ± 4,56 ± 4,46 ± 15,,
7,4.075,,,3.303,-0.2 <= delta <= 2.8,-0.2<=delta<=2.8,3 ± 1,3 ± 1,4 ± 2,,
8,4.116,2+,2+,0.0,E2,E2,55 ± 5,48 ± 5,80 ± 20,89 ± 20,89(20)
9,4.116,,,2.127,0.57 ± 0.12,0.57(12),45 ± 5,52 ± 5,20 ± 20,,
10,4.623,3-,3-,2.127,-0.02 ± 0.04,-0.02(4),24 ± 5,25 ± 5,24 ± 5,125 ± 20,125(20)
11,4.623,,,3.303,0.03 ± 0.05,0.03(5),76 ± 5,75 ± 5,76 ± 5,,
12,4.688,(0-4)+,4+,2.127,0.00 ± 0.01,0.00(1),100,100,100,132 ± 15,132(15)
13,4.874,,3,2.127,0.11 ± 0.03,0.11(3),60 ± 5,65 ± 5,68 ± 7,85 ± 20,85(20)
14,4.874,,,3.303,0.09 ± 0.04,0.09(4),40 ± 5,35 ± 5,32 ± 7,,
15,4.892,2+,2+,0.0,E2,E2,,41 ± 10,64 ± 11,< 35,< 35
16,4.892,,,3.303,,,,59 ± 10,36 ± 11,,
17,5.225,0+,0+,4.075,M1,M1,100,,,,
18,5.318,,2+,2.127,0.17 ± 0.06,0.17(6),100,100,100,53 ± 28,53(28)
19,5.380,(0-4)+,1,0.0,M1,M1,38 ± 8,,,,
20,5.380,,,2.127,0.1 <= delta <= 2.1,0.1<=delta<=2.1,62 ± 8,,,,
