Eγ​ (keV),Einitial level​,Efinal level​,Iγ​ (1980WI13),Iγ​ (1975VA02)
146,34Clm,34Cl(0),94.4±1.4,95.6±1.9
1176,3303,2127,32.90±0.28,32.2±1.0
1385,4688,3303,<0.021,
1573,4876,3303,0.037±0.012,0.026±0.005
1586,4889,3303,<0.018,<0.015
1987,4114,2127,0.431±0.015,0.409±0.015
2127,2127,gs,100.0±1.1,100
2560,4688,2127,0.0783±0.0067,0.072±0.014
2748,4876,2127,0.0521±0.0066,0.049±0.005
2762,4889,2127,<0.011,
3303,3303,gs,28.73±0.31,27.3±0.9
4074,4074,gs,<0.00081,<0.0023
4114,4114,gs,0.637±0.014,0.61±0.04
4876,4876,gs,<0.00076,<0.0010
4889,4889,gs,<0.0015,<0.0010
