Ei​ (keV),Jπ,Iβ​ (%),log(ft),Eγ​ (keV),Iγ​ (%),Ef​ (keV)
0.0,0+,0,,,,
2718.4(1),0+,< 0.1,,E0,< 0.5,0.0
3325.4(1),2+,< 0.1,,606.8(1),0.056(6),2718.4
,,,,3325.4(1),100(2),0.0
4254.5(1),3−,41(7),4.84(8),929.1(1),94(2),3325.4
,,,,4254.4(1),28(1),0.0
4378.4(1),(4−),28(3),4.98(5),123.9(1),54(2),4254.5
4518.7(1),(2+),< 0.1,,1193.4(1),0.83(3),3325.4
,,,,4518.6(1),0.05(2),0.0
4969.3(1),(5−),3.9(4),5.74(5),590.8(1),6.5(2),4378.4
5041.2(1),(3−),0.95(13),6.34(6),1715.7(1),1.8(1),3325.4
5348.6(2),(2+),< 0.1,,2023.1(2),0.18(2),3325.4
,,,,5348.7(2),0.38(3),0.0
6022.0(2),(3−),2.76(21),5.70(4),673.4(1),0.53(2),5348.6
,,,,1503.1(1),0.79(2),4518.7
,,,,2696.5(1),3.2(1),3325.4
6226.7(2),(4−),0.79(7),6.21(4),1185.8(1),0.25(2),5041.2
,,,,1257.5(1),0.04(1),4969.3
,,,,1848.0(1),0.87(5),4378.4
,,,,1972.7(1),0.14(2),4254.5
