Ei​ (keV),Jπ,Iβ​ (%),Eγ​ (keV),Iγ​ (%),Ef​ (keV)
0.0,0+,27(10),,,
2718.4(1),0+,37(6),2718.4(E0),168(3),0.0
3325.4(1),2+,7(3),3325.4(1),100(3),0.0
4254.5(1),3−,< 0.1,929.1(1),2.6(1),3325.4
,,,4254.4(1),0.7(1),0.0
4518.7(1),(2+),4.8(12),1193.4(1),36.5(8),3325.4
,,,4518.6(1),2.0(1),0.0
5041.2(2),(3−),< 0.1,1715.8(1),0.7(1),3325.4
5348.6(2),(2+),< 0.1,2023.1(2),1.0(1),3325.4
,,,5348.7(2),1.6(1),0.0
5772.8(2),(2+),< 0.4,2447.4(2),2.9(2),3325.4
,,,5772.8(2),5.3(2),0.0
6201.2(3),,< 0.1,6201.2(3),2.1(1),0.0
6431.7(3),,2.1(2),230.6(1),0.7(1),6201.2
,,,658.7(1),2.1(1),5772.8
,,,3106.5(1),6.8(2),3325.4
6675.9(3),(2+),1.0(1),2421.4(1),3.3(1),4254.5
,,,3350.5(2),1.3(1),3325.4
6764.3(3),(2+),0.26(4),1722.9(2),0.6(1),5041.2
,,,3439.1(2),0.6(1),3325.4
6964.4(3),,< 0.1,1923.2(2),0.2(1),5041.2
7106.6(3),,3.4(4),905.3(1),1.5(1),6201.2
,,,1333.6(1),1.3(1),5772.8
,,,1758.3(1),1.4(2),5348.6
,,,2588.0(1),11.3(4),4518.7
7475.8(3),(0+),5.6(5),1702.8(1),4.2(2),5772.8
,,,2127.6(1),1.0(1),5348.6
,,,2957.1(1),5.6(1),4518.7
,,,4150.4(1),14.6(5),3325.4
