Ep_keV,Ex_keV,0 MeV,1.22 MeV,1.76 MeV,2.65 MeV,2.69 MeV,3.00 MeV,3.16 MeV,3.92 MeV,3.94 MeV,3.97 MeV,4.06 MeV,4.11 MeV,4.17 MeV,4.18 MeV,"Autres niveaux (Ex MeV, %%)"
716,7063,48,18,16,3,6,2,6,,,,,1,,,
754,7100,11,67,4,13,,3,2,2,,,,,,,6.10(4)
832,7175,40,16,4,,,,2,,10,,24,,,,"4.85(2), 5.01(1)"
848,7192,72,,,,,,5,2,,3,,15,,,"5.21(6), 5.40(1), 5.85(1)"
881,7223,58,8,10,3,,1,,,,,,7,,,"5.68(2), 6.10(3)"
889,7231,93,,2,,,,2,2,,,,1,,,
928,7269,69,23,,,1,,,,,,1,1,,0.5,"4.84(1), 5.01(1.5), 5.40(0.5), 5.75(1.5)"
1020,7358,10,70,10,,,0.5,0.5,,3,3,,1,,,"4.84(1), 5.01(0.5), 5.65(0.5), 4.35(10)"
1055,7392,,,10,,,14,49,,,8,,9,,,
1112,7448,73,4,,8,,10,5,,,,,9,,,
1165,7499,,7,,,,13,55,,,,25,,,,
1166,7500,20,,3,,,,68,70,2,,,,,,6.10(10)
1183,7517,20,,3,,,,68,,2,,,,,,"4.35(2), 5.59(3), 5.60(2)"
1214,7546,0.2,0.3,0.5,,,1.8,95,,,,,,,,"4.77(1.5), 5.59(0.2), 5.64(0.5)"
1226,7558,36,36,,,,21,,,,5,,1,,,
1267,7598,31,1,2,,1.5,19,9,,4,1.5,2,2,,,"4.63(2), 4.77(1), 4.84(2), 4.88(2), 5.16(2)"
1285,7616,80,,10,,,,,,3,,,1,,,5.21(3)
1324,7653,57,,,,,,,,,2,32,1,,,"4.84(3), 5.65(1), 5.68(1), 6.10(3)"
1340,7669,2,,57,,14,,,8,,4,4,,,,"4.35(6), 4.88(1), 5.16(4)"
1354,7683,72,1,,,,,9,,,,6,5,2,,"5.21(0.5), 5.40(2), 5.60(2), 5.75(0.5)"
1362,7691,96,,,,,,2,,,,1,,,,5.60(1)
1376,7704,88,1,,,,,,,,4,,1,,,"4.84(1), 5.65(4)"
1416,7743,,2,,,,,43,,,,18,12,5,,"4.77(1), 4.88(19)"
