7179,7547,7838,8207,8216,8381,8484,8893,8907,9081
38,null,21,78,45,2,4,1,null,60
17,null,37,3,null,null,null,null,null,null
null,null,2,14,1,34,46,19,69,16
null,1,null,null,null,5,3,null,null,1
4,null,null,1,3,1,20,37,null,2
null,2,4,1,5,25,7,null,null,null
null,95,null,null,41,null,null,29,null,6
3,null,null,null,null,24,5,null,null,9
null,null,1,null,null,null,null,4,15,null
9,null,null,null,null,null,1,null,null,null
22,null,2,2,null,null,null,null,null,null
null,null,null,null,null,7,null,9,null,null
1,null,3,null,null,null,null,null,null,2
null,null,28,null,3,null,null,null,null,2
null,null,null,null,null,1,1,null,null,null
null,1,null,null,1,1,null,null,6,null
2,null,null,1,null,null,null,null,null,null
null,null,null,1,null,null,7,null,null,1
null,null,1,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,4,null
null,null,1,null,null,null,null,1,null,null
null,1,null,null,null,null,null,null,2,null
null,null,null,1,1,null,6,null,4,null
null,null,null,null,null,null,null,null,null,1
null,null,1,null,null,null,null,null,null,null
