,,Exf,Exf,Exf,Exf,Exf,Exf,Exf,Exf,Exf,Exf,Exf,Exf,Exf,Exf,Other final levels
,,0,1219.1,1762.8,2645.6,2694,3002.7,3162.5,3917.9,3942.6,3967.3,4058.4,4111,4173,4177.2,Exf in unit of MeV and BR placed in ()
Ep_keV, Exi_keV,,,,,,,,,,,,,,,
716,7063,48,18,16,3,6,2,6,,,,1,,,,
754,7100,11,67,4,,13,3,,2,,,,,,,
832,7175,40,16,,,4,,,2,,10,24,,,,6.10(4)
848,7192,,72,,,,,,5,,2,3,,,15,"4.85(2), 5.01(1)"
881,7223,58,,8,,10,3,,1,,,,,7,,"5.21(6), 5.40(1), 5.85(1), 5.68(2), 6.10(3)"
889,7231,93,2,,2,2,,,,,,,,,1,
928,7269,69,23,,,1,,,,,1,1,,,0.5,"4.84(1), 5.01(1.5), 
5.40(0.5), 5.75(1.5)"
1020,7358,10,70,10,,,0.5,,0.5,,3,3,,,1,"4.84(1), 5.01(0.5), 
5.65(0.5), "
1055,7392,,,,10,,14,49,,8,,,9,,,4.35(10)
1112,7448,,73,4,,8,10,,5,,,,,,,
1165,7499,,,7,55,,13,,,25,,,,,,
1166,7500,,20,,,,,,,,,70,,,,6.10(10)
1183,7517,,,20,3,,,68,,2,,,,,,"4.35(2), 5.59(3), 5.60(2)"
1214,7546,0.2,,0.3,0.5,,1.8,95,,,,,,,,"4.77(1.5), 5.59(0.2), 564(0.5)"
1226,7558,36,36,,,21,,,1,,,5,,,1,
1267,7598,31,1,2,1.5,19,9,4,,,,1.5,,2,2,"4.63(2), 4.77(1), 4.84(2), 
4.88(2), 5.16(2)"
1285,7616,80,,10,,,,3,,,,1,,,3,5.21(3)
1324,7653,57,,,,,,,,,2,32,,,1,"4.84(3), 5.65(1), 5.68(1), 6.10(3)"
1340,7669,2,,57,14,,8,4,,,,,,4,,"4.35(6), 4.88(1), 5.16(4)"
1354,7683,72,1,,,,9,,,,,6,,5,2,"5.21(0.5), 5.40(2), 
5.60(2), 5.75(0.5)"
1362,7691,96,,,,,2,,,,,1,,,,5.60(1)
1376,7704,88,1,,4,,1,,,,,,1,,,"4.84(1), 5.65(4)"
1416,7743,,,2,43,,,18,,12,,,5,,,"4.77(1), 4.88(19)"
1449,7775,16,13,46,2,7,4,,,,,1,,,7,"4.77(2), 4.84(2)"
1454,7780,,,20,9,,,5,10,,,1,3,40,,"4.35(2), 4.77(7), 5.21(1), 
5.40(1), 5.59(1)"
1470,7795,85,9,,,,,,,,,,,,,"4.85(0.5), 5.01(2), 
5.40(2), 5.65(1), 5.75(0.5)"
1513,7834,27,27,,,,4,,,,,2,,3,35,"5.21(1), 6.10(1)"
1542,7866,62,12,18,,,,,,,,,,4,,5.01(4)
1555,7878,9,,31,,30,10,,2,,,1,4,,,"4.63(1), 4.84(3), 5.65(9)"
1574,7897,3,,77,,,,4,,,,2,,6,8,
1599,7921,48,28,1,,12,,,1,,1,1,,6,2,
1647,7968,,,21,22,,5,13,,,,,2,6,,"4.35(8), 4.77(6), 4.88(9), 
5.21(3), 5.59(2), 5.64(3)"
1665,7985,36,62,,,,,,,,,,,,,"5.65(1), 6.10(1)"
1674,7993,87,,1,,,,6,,,,,,,3,5.40(3)
1680,7999,1,,76,2,,,,,2,,,,8,,"4.77(8), 5.64(3)"
1684,8004,60,,20,,,3,17,,,,,,,,
1714,8033,2,56,5,,5,,,,,,11,,,15,5.80(6)
1718,8036,9,6,17,,61,3,,,,,4,,,,
1756,8073,1,,53,,,2,,,,,,2,7,,"4.77(4), 4.88(2), 5.16(1), 
5.21(7), 5.59(11), 
5.64(10)"
1777,8093,40,,9,17,5,,5,3,,,2,,,,"4.77(1), 4.84(3), 5.16(2), 
5.21(1), 5.60(6), 5.64(5), 
5.80(1)"
1788,8104,40,35,3,,8,8,,,,3,0.5,,,1,"4.84(0.5), 4.85(0.5), 
5.60(0.5)"
1795,8111,26,32,6,,17,,,,,5,,,5,,"5.60(3), 6.49(6)"
1829,8144,63,15,,,3,,,3,,1,3,,,9,"5.01(2), 5.68(1)"
1839,8154,4,,,50,,4,9,,,,,7,8,,"5.21(8), 5.59(7), 5.64(3)"
1863,8177,8,,68,,3,4,8,,,,,,,,4.63(9)
1893,8207,76,3,16,,1,1,,1,,,2,,,,
1902,8215,47,,,,4,"5
",44,,,,,,,,
2073,8382,3,,34,5,1,25,,24,,,,8,,,
