Exi_keV,dExi,to_0,to_1219.3,to_1763.4,to_2644.7,to_2694.7,to_3003.7,to_3163.9,to_4180.1,to_unknown
1219.3,0.1,100,,,,,,,,
1763.4,0.7,100,<0.2,,,,,,,
2644.7,1.3,90.6±1.0,<2,9.4±1.0,,,,,,
2694.7,1.2,79±2,8.0±1.0,13.0±1.0,,,,,,
3003.7,0.8,100,<3,<2,,,,,,
3163.9,0.7,91±2,<0.2,<0.2,8.9±2.0,,<3,,,
3920.7,1.3,75±3,,25±3,<3,,,,,
3944.1,1.1,<10,<6,92±2,8±2,,,,,
3979,1.5,15±5,83±5,<2,<2,2.0±0.5,,,,
4059.4,0.4,<2,94±2,4.8±1.5,<1,1.2±0.4,,,,
4114,1,56±7,<10,44±7,,,,,,
4174.7,1,60±10,<4,15±5,<10,25±8,,,,
4180.1,1.5,60±5,30±5,<1,<0.5,10±3,<0.5,,,
4347.2,1.2,<10,<4,<5,28±5,<4,<4,72±5,,
4624.2,2,85±10,,,,,,,,15
4766.9,1.5,<10,<10,,,<10,35±10,65±10,,
4841.7,1.9,40±5,<7,60±5,<3,<4,<7,,,
4855.7,1.9,25±5,75±5,,,,,,,
4885,2,<5,<4,62±5,29±5,<10,9±3,,,
5010.4,1.8,100,<7,<10,<5,,,,,
5166.7,1.5,<10,<10,44±5,,,10±4,36±5,,10
5216.2,1.5,100,<4,<6,,,,,,
5403.6,1,<7,55±10,<10,,,25±5,,,20
5586,2,<10,<10,60±10,40±10,,,,,
5600.1,1.5,67±10,,33±10,,,,,,
5646,2,<8,,,,,,100,,
5656,2,,<6,6±2,,,80±5,,,14
5683,2,,,,,,,,60±10,40
5759,3,45±10,<6,,,,,,30±10,25
5806,2,100,,,,,,,,
6107.2,1.5,58±10,36±10,6±2,,,,,,
6181,3,45±10,,,,,,,,55
6493,3,100,,,,,,,,
Exi_keV,dExi,to_0,to_1219.3,to_1763.4,to_2644.7,to_2694.7,to_3003.7,to_3163.9,to_4180.1,to_unknown
