Ex_keV,Ep_keV,dEp_keV,|w|g_eV,d|w|g_eV
7067.5,716.0,1.0,0.3,0.1
7105.0,754.6,1.0,0.5,0.2
7180.4,832.2,1.5,0.3,0.1
7195.9,848.1,1.0,1.2,0.4
7226.2,879.3,1.0,0.3,0.1
7235.1,888.5,1.0,1.9,0.6
7274.5,929.0,1.0,2.2,0.7
7363.8,1021.0,1.0,3.1,0.9
7398.7,1056.9,1.6,0.5,0.2
7452.4,1112.2,0.6,0.4,0.1
7504.1,1165.4,0.7,0.8,0.2
7519.6,1181.4,0.7,0.4,0.1
7549.8,1212.4,0.7,21,3
7562.3,1225.3,0.7,1.5,0.5
7601.5,1265.7,0.8,2.8,0.8
7619.8,1284.5,0.5,1.7,0.5
7658.4,1324.2,0.8,0.8,0.2
7673.4,1339.7,0.8,1.3,0.4
7687.1,1353.8,0.8,2.8,0.8
7695.4,1362.3,0.8,0.6,0.2
7707.8,1375.1,0.8,4.4,1.3
7746.3,1414.7,0.9,1.7,0.5
7778.1,1447.5,0.9,1.5,0.5
7782.8,1452.3,1.3,0.9,0.3
7798.3,1468.2,0.9,1.4,0.4
7839.1,1510.2,1.0,4.8,1.4
7840.4,1511.6,0.9,6.1,1.8
7870.1,1542.2,1.0,1.0,0.3
7882.3,1554.7,0.9,2.2,0.7
7900.7,1573.7,0.7,2.2,0.7
7924.7,1598.4,0.9,1.0,0.3
7972.0,1647.1,1.0,1.9,0.6
7990.5,1666.1,1.0,1.2,0.4
7996.9,1672.7,1.0,2.1,0.6
8002.2,1678.1,0.9,2.9,0.9
8006.4,1682.5,1.0,4.8,1.4
8037.9,1714.9,1.0,0.8,0.2
8040.2,1717.3,1.1,2.9,0.9
8077.5,1755.7,1.1,1.6,0.5
8097.3,1776.0,1.1,2.4,0.7
8107.8,1786.9,1.1,3.7,1.1
8114.9,1794.2,1.1,1.6,0.5
8149.2,1829.5,1.1,1.7,0.5
8158.6,1839.1,1.1,1.9,0.6
8180.9,1862.1,1.2,0.9,0.3
8209.3,1891.3,1.2,9.0,2.7
8217.3,1899.6,1.1,7.1,2.1
8243.5,1926.5,1.2,2.2,0.7
8270.5,1954.3,1.2,2.0,0.6
8278.7,1962.8,1.2,1.5,0.5
8283.6,1967.8,1.2,1.3,0.4
8289.4,1973.8,1.2,1.6,0.5
8299.8,1984.5,1.2,3.5,1.1
8320.7,2006.0,1.3,4.2,1.3
8324.5,2009.9,1.3,1.6,0.5
too many digits,,,,
