,,Ef_keV,Ef_keV,Ef_keV,Ef_keV,Ef_keV,Ef_keV,Ef_keV,Ef_keV,Ef_keV,Ef_keV,Ef_keV,Ef_keV,Ef_keV,Ef_keV,Ef_MeV(BR),,,,,,
Ep_keV, Exi_keV,0,1219.3,1763.4,2644.7,2694.7,3003.7,3163.9,3920.7,3944.1,3979,4059.4,4114,4174.7,4180.1,other final levels,,,,,,
716,7069,49,18,14,1.6,5,3,6,,,,1.4,0.6,,0.5,5.17(0.9),,,,,,
755,7106,15,64,4,,11,3,,1.5,,,,,,1.5,,,,,,,
832,7181,38,17,,,4,,,3,,9,22,,0.8,,4.84(1.5), 5.40(1.7), 6.11(3),,,,
848,7197,2,67,0.5,,1.1,,,4,,1.8,3,,,16,4.84(1.8), 4.86(2), 5.01(0.8),,,,
879,7227,59,,7,,10,,,1.5,,,2,,,8,5.22(7), 5.40(0.9), 5.66(0.8), 5.68(2.0), 6.11(1.8),,
889,7236,93,1.8,0.2,3,1.8,,,,,,,,,,5.66(0.2),,,,,,
929,7275,69,24,,,1.1,,,,,0.8,0.9,,0.4,,4.84(1.0), 5.01(1.4), 5.40(0.2), 5.76(1.2),,,
1021,7365,10,73,8,,0.5,0.3,,0.8,,3,2,,,0.5,4.84(1.0), 5.01(0.6), 5.66(0.3),,,,
1057,7400,,,2,13,,14,47,,5,,,8,,,4.35(11),,,,,,
1165,7505,0.3,18,0.7,7,,4,4,,2,,50,,,3,5.01(2), 5.60(2), 6.11(7),,,,
1212,7551,0.2,,0.3,0.5,,2,95,,,,,,,,4.77(1.3), 5.59(0.1), 5.65(0.6),,,,
1225,7563,34,35,,,22,,,1.6,,0.5,6,,,0.9,,,,,,,
1266,7602,33,1.1,19,1.9,18,8,5,,,,2,,,3,4.62(1.8), 4.77(1.3), 4.84(2), 4.89(2), 5.17(1.9),,
1285,7621,78,,10,,,,3,,,,2,,,3,4.84(0.7), 5.17(0.7), 5.22(2), 6.18(0.6),,,
1340,7674,0.8,,57,13,,9,1.8,,,,,,5,,4.35(6), 4.77(1.0), 4.89(1.2), 5.17(4), 5.60(1.2),,
1354,7688,70,1,0.7,,,10,,,,,6,,4,3,5.01(0.6), 5.22(0.7), 5.40(2), 5.60(2),,,
1375,7709,83,0.5,0.4,4,,1,,0.6,,,,2,,2,4.62(0.8), 4.84(1.3), 4.89(0.4), 5.66(4),,,
1415,7747,,0.6,2.4,43,,,16,,10,,,6,,,4.77(2), 4.89(20),,,,,
1448,7779,18,11,40,1.3,9,4,2,,,,1.1,,,7,4.77(3), 4.84(2), 5.17(1.1), 5.66(0.5),,,
1452,7784,1.7,1.2,18,8,,,5,11,,,1.2,6,36,,4.35(2), 4.77(7), 5.22(1.5), 6.11(1.4),,,
1468,7799,83,9,,,,,,,,,0.3,,,,4.84(1.1), 4.86(1.3), 5.01(2), 5.40(2), 5.66(1.3),,
1511,7841,21,37,1.9,,,4,,0.2,0.5,,2,,3,28,5.22(1.4), 5.60(0.5), 6.18(0.5),,,,
1542,7871,61,13,17,,,,,,,,,,5,,5.01(3), 5.22(1.0),,,,,
1555,7883,10,,30,,25,11,,2,,,2,1.3,,3,4.62(2), 4.84(1.7), 5.66(12),,,,
1574,7901,4,,68,,1.3,,4,,,,3,,8,8,4.62(0.5), 4.89(0.8), 5.17(0.9), 5.65(1.5),,,
1598,7925,41,27,1.5,0.9,11,0.9,,1.2,,1.5,1.7,,5,3,4.62(1.9), 4.77(2), 4.84(1.4),,,,
1647,7973,,1,20,20,,5,10,,,,,6,,6,4.35(8), 4.77(5), 4.89(10), 5.22(3), 5.59(3), 5.65(3),
1666,7991,36,60,,,,,,,,,1,,<0.8,<0.8,5.66(1.7), 6.11(0.5),,,,,
1673,7998,78,,0.9,0.6,0.2,2,7,,,,1.1,,,4,5.17(1.5), 5.40(3), 5.60(1.1), 5.81(0.6),,,
1678,8003,1.4,,70,1.6,,,0.8,,3,,,,10,,4.35(1.9), 4.77(8), 4.89(0.7), 5.22(0.8), 5.65(1.8),,
1683,8007,55,0.6,15,4,1.7,2,15,,,,,,<1.3,<1.3,4.84(3), 4.89(0.6), 5.66(1.8),,,,
1717,8041,8,4,15,,57,4,,1.4,,0.8,3,,,1.6,4.62(3), 4.84(1.6), 4.86(0.6),,,,
1756,8077,,,56,,,2,,,,,,,,8,4.77(4), 5.22(8), 5.59(11), 5.65(11),,,
1776,8098,39,,8,17,5,,5,1.8,,,2,,,1.9,4.77(2), 4.84(3), 5.17(2), 5.22(1.3), 5.60(5), 5.65(5), 5.81(2)
1787,8109,37,35,3,,9,9,,,,3,1.3,,,1.6,4.84(0.5), 4.86(0.6),,,,,
1794,8116,25,32,5,,13,1.9,,,,5,1.3,,7,,5.22(1.8), 5.66(0.9), 5.81(1.1), 6.10(6),,,
1830,8150,62,15,,,3,,,3,,2,3,,,8,5.01(3), 5.68(1.0),,,,,
1839,8159,3,,1,51,,6,5,,2,,1,7,,5,4.77(1.0), 5.22(6), 5.59(8), 5.64(4),,,
1891,8210,78,3,14,,0.5,1.1,,,,,1.5,,,,4.84(0.4), 4.89(0.8), 5.66(0.7),,,,
1900,8218,45,,1.4,,3,5,41,,,,,,<3,<3,4.77(0.8), 5.66(0.8),,,,,
1927,8244,,91,,,,2,,,,,,,7,,,,,,,,
1954,8271,45,,8,4,6,13,7,3,,,,,,12,4.77(2),,,,,,
1963,8279,29,,23,3,3,10,,5,,,1.5,,2,,4.35(1.8), 4.62(3), 4.77(1.2), 4.84(11), 4.89(5), 5.66(1.5),
1968,8284,28,,7,,,,26,,,,6,,,14,5.17(3), 5.22(8), 5.59(8),,,,
1974,8290,13,44,,,23,,,1,,3,2,,,9,5.01(3), 5.66(2),,,,,
1985,8300,13,24,8,6,10,1,1,,,,10,,6,,4.86(5), 4.89(4), 5.01(3),,,,
2006,8321,78,2,1.8,0.9,1.6,3,0.5,,,3,1.2,,<3,<3,4.62(1.8), 4.77(0.3), 5.60(1.5), 5.65(0.7), 5.81(0.7),,
,,Ef_keV,Ef_keV,Ef_keV,Ef_keV,Ef_keV,Ef_keV,Ef_keV,Ef_keV,Ef_keV,Ef_keV,Ef_keV,Ef_keV,Ef_keV,Ef_keV,Ef_MeV(BR),,,,,,
Ep_keV, Exi_keV,0,1219.3,1763.4,2644.7,2694.7,3003.7,3163.9,3920.7,3944.1,3979,4059.4,4114,4174.7,4180.1,other final levels,,,,,,
