       1 :  60ZN    60GA EC DECAY (69.4 MS)       2001MA96,2021OR01         ENSDF    202709
      34 :  60ZN DG CC$FROM BrIcc v2.3e (17-Jun-2020) 2008Ki07, "Frozen Orbitals" appr.      <New Card>
      48 :  60ZN  G 669.3     3 0.58    15                                                   <Old Card Kept>
      49 :  60ZN  G 850.8     1 1.21    16                                                   <Old Card Kept>
      50 :  60ZN  G 913.9     3 0.48    16                                                   <Old Card Kept>
      51 :  60ZN  G 1028.6    2 0.61    13                                                   <Old Card Kept>
      52 :  60ZN  G 1188.4    1 2.58    16                                                   <Old Card Kept>
      53 :  60ZN  G 1201.8    2 0.47    11                                                   <Old Card Kept>
      54 :  60ZN  G 1413.7    2 0.57    11                                                   <Old Card Kept>
      55 :  60ZN  G 1442.1    1 0.65    13                                                   <Old Card Kept>
      56 :  60ZN  G 1481.4    1 2.10    16                                                   <Old Card Kept>
      57 :  60ZN  G 1780.8    6 0.32    16                                                   <Old Card Kept>
      58 :  60ZN  G 2047.2    4 1.13    32                                                   <Old Card Kept>
      59 :  60ZN  G 2334.2    3 1.29    32                                                   <Old Card Kept>
      60 :  60ZN  G 2434.2    2 2.90    32                                                   <Old Card Kept>
      61 :  60ZN  G 2624.3    5 0.48    16                                                   <Old Card Kept>
      62 :  60ZN  G 2826.0    2 2.10    32                                                   <Old Card Kept>
      63 :  60ZN  G 2884.0    4 1.29    32                                                   <Old Card Kept>
      64 :  60ZN  G 2996.8    2 3.2     5                                                    <Old Card Kept>
      65 :  60ZN  G 3337.4    1 11.5    10                                                   <Old Card Kept>
      66 :  60ZN  G 3394.8    1 11.3    10                                                   <Old Card Kept>
      67 :  60ZN  G 3889.1    3 4.5     13                                                   <Old Card Kept>
      68 :  60ZN  G 4000.9    2 4.5     7                                                    <Old Card Kept>
      69 :  60ZN  G 4805.0    4 0.65    16                                                   <Old Card Kept>
      70 :  60ZN  G 4850.2    5 0.32    16                                                   <Old Card Kept>
      71 :  60ZN  G 4891.9    3 0.65    16                                                   <Old Card Kept>
      74 :  60ZN  G 1003.5    1 100     5                                                    <Old Card Kept>
      78 :  60ZN  G 1554.7    3 11.3    8                                                    <Old Card Kept>
      81 :  60ZN  G 2558.8    4 13.7    10                                                   <Old Card Kept>
      86 :  60ZN  G 2293.2    4 10.2    8                                                    <Old Card Kept>
      89 :  60ZN  G 3848.5    4 61      5                                                    <Old Card Kept>
