EG	MUL	CG
35.5(1)	M1+E2	
116.7(1)	E1	
146.6(2)		
161.5(1)	M1+E2	$R{-DCO}(D)=1.1 {I2}.
165.4(1)	(M1+E2)	$R{-DCO}(Q)=0.56 {I2}.
172.8(1)	M1+E2	$R{-DCO}(D)=1.18 {I4}.
176.3(1)	M1+E2	
194.8(1)	(M1+E2)	$R{-DCO}(D)=1.3 {I1}.
195		
204.3(1)	M1+E2	$R{-DCO}(D)=0.81 {I1}, POL=-0.27 {I8}.
219.8(2)		
228.7(1)		
229.1(1)		
242.3(2)	(M1+E2)	$R{-DCO}(Q)=0.61 {I3}.
261.4(1)	M1+E2	
263.6(1)	M1+E2	$R{-DCO}(Q)=0.91 {I3}.
280.0(1)	(M1+E2)	
285.2(1)	M1+E2	$R{-DCO}(D)=1.30 {I14}.
308.5(1)	(M1+E2)	$R{-DCO}(Q)=1.02 {I5}.
312.6(3)		
321.1(1)	E1	$R{-DCO}(D)=1.00 {I2}, POL=0.10 {I7}.
328.8(2)		
336.7(1)	(M1+E2)	$R{-DCO}(Q)=0.88 {I4}.
339.4(1)	(M1+E2)	$R{-DCO}(D)=0.99 {I4}.
350.4(1)	M1+E2	$R{-DCO}(Q)=0.61 {I2}, POL=-0.06 {I1}.
354.6(1)	(M1+E2)	$R{-DCO}(D)=1.57 {I12}, POL=-0.17 {I3}.
378.2(1)	E2	$R{-DCO}(Q)=1.00 {I4}, POL=0.34 {I3}.
378		
381	(M1+E2)	
390.5(1)	M1+E2	$R{-DCO}(D)=1.01 {I1}, POL=-0.09 {I2}.
394.1(1)	E2	$R{-DCO}(Q)=0.85 {I2}, POL=0.26 {I6}.
394.2(1)	(M1+E2)	$R{-DCO}(Q)=0.66 {I2}.
405.9(1)	(M1+E2)	$R{-DCO}(Q)=0.69 {I5}.
427.7(1)	M1+E2	$R{-DCO}(Q)=0.59 {I1}.
430	M1+E2	E$From 2014As01, rounded to the nearest integer. $R{-DCO}(Q)=0.47 {I2}.
430	M1+E2	E$From 2014As01, rounded to the nearest integer. $R{-DCO}(Q)=0.47 {I2}.
430.6(1)	(M1+E2)	$R{-DCO}(Q)=1.11 {I6}.
441.6(1)	(M1+E2)	$R{-DCO}(D)=1.09 {I6}.
442.1(1)	M1+E2	
449.4(1)	M1+E2	
463.0(1)	E2	$R{-DCO}(Q)=0.95 {I3}.
465.7(1)	M1+E2	$R{-DCO}(D)=1.34 {I1}.
465.9(1)	(M1+E2)	
479.7(2)	(M1+E2)	$R{-DCO}(D)=1.3 {I1}.
487.4(2)	(M1+E2)	$R{-DCO}(D)=1.2 {I4}.
495.8(1)	M1+E2	$R{-DCO}(D)=1.1 {I1}.
509.1(1)		
